"","X","minute","location_x","location_y","under_pressure","team.name","player.name","shot.end_location_x","shot.end_location_y","match_date","kick_off","home_score","away_score","home_team.home_team_name","home_team.home_team_group","away_team.away_team_name","away_team.away_team_group","competition_stage.name","total_goals","result","game_description"
"1",1,11,112,47,NA,"Russia","Yury Gazinskiy",120,36.6,"2018-06-14","17H 0M 0S",5,0,"Russia","Group A","Saudi Arabia","Group A","Group Stage",5,"h_win","Russia vs Saudi Arabia"
"2",2,42,110,34,NA,"Russia","Denis Cheryshev",120,36.6,"2018-06-14","17H 0M 0S",5,0,"Russia","Group A","Saudi Arabia","Group A","Group Stage",5,"h_win","Russia vs Saudi Arabia"
"3",3,70,115,37,NA,"Russia","Artem Dzyuba",120,43,"2018-06-14","17H 0M 0S",5,0,"Russia","Group A","Saudi Arabia","Group A","Group Stage",5,"h_win","Russia vs Saudi Arabia"
"4",4,90,104,23,NA,"Russia","Denis Cheryshev",120,44,"2018-06-14","17H 0M 0S",5,0,"Russia","Group A","Saudi Arabia","Group A","Group Stage",5,"h_win","Russia vs Saudi Arabia"
"5",5,93,99,52,NA,"Russia","Aleksandr Golovin",120,44,"2018-06-14","17H 0M 0S",5,0,"Russia","Group A","Saudi Arabia","Group A","Group Stage",5,"h_win","Russia vs Saudi Arabia"
"6",6,70,109,41,NA,"Croatia","Luka Modric",120,36.2,"2018-06-16","21H 0M 0S",2,0,"Croatia","Group D","Nigeria","Group D","Group Stage",2,"h_win","Croatia vs Nigeria"
"7",7,57,108,40,NA,"France","Antoine Griezmann",119,43.8,"2018-06-16","12H 0M 0S",2,1,"France","Group C","Australia","Group C","Group Stage",3,"h_win","France vs Australia"
"8",8,61,109,41,NA,"Australia","Mile Jedinak",120,42,"2018-06-16","12H 0M 0S",2,1,"France","Group C","Australia","Group C","Group Stage",3,"h_win","France vs Australia"
"9",9,18,106,37,NA,"Argentina","Sergio Leonel Aguero del Castillo",119,36.4,"2018-06-16","15H 0M 0S",1,1,"Argentina","Group D","Iceland","Group D","Group Stage",2,"draw","Argentina vs Iceland"
"10",10,22,113,39,NA,"Iceland","Alfred Finnbogason",120,40.3,"2018-06-16","15H 0M 0S",1,1,"Argentina","Group D","Iceland","Group D","Group Stage",2,"draw","Argentina vs Iceland"
"11",11,58,108,28,NA,"Denmark","Yussuf Yurary Poulsen",120,37,"2018-06-16","18H 0M 0S",0,1,"Peru","Group C","Denmark","Group C","Group Stage",1,"a_win","Peru vs Denmark"
"12",12,19,99,21,TRUE,"Brazil","Philippe Coutinho Correia",120,44,"2018-06-17","20H 0M 0S",1,1,"Brazil","Group E","Switzerland","Group E","Group Stage",2,"draw","Brazil vs Switzerland"
"13",13,49,116,41,NA,"Switzerland","Steven Zuber",120,41.9,"2018-06-17","20H 0M 0S",1,1,"Brazil","Group E","Switzerland","Group E","Group Stage",2,"draw","Brazil vs Switzerland"
"14",14,34,109,32,NA,"Mexico","Hirving Rodrigo Lozano Bahena",120,37,"2018-06-17","17H 0M 0S",0,1,"Germany","Group F","Mexico","Group F","Group Stage",1,"a_win","Germany vs Mexico"
"15",15,55,94,59,NA,"Serbia","Aleksandar Kolarov",120,44,"2018-06-17","14H 0M 0S",0,1,"Costa Rica","Group E","Serbia","Group E","Group Stage",1,"a_win","Costa Rica vs Serbia"
"16",16,46,105,59,NA,"Belgium","Dries Mertens",120,36.2,"2018-06-18","17H 0M 0S",3,0,"Belgium","Group G","Panama","Group G","Group Stage",3,"h_win","Belgium vs Panama"
"17",17,68,114,43,NA,"Belgium","Romelu Lukaku Menama",120,44,"2018-06-18","17H 0M 0S",3,0,"Belgium","Group G","Panama","Group G","Group Stage",3,"h_win","Belgium vs Panama"
"18",18,74,110,29,NA,"Belgium","Romelu Lukaku Menama",120,39.9,"2018-06-18","17H 0M 0S",3,0,"Belgium","Group G","Panama","Group G","Group Stage",3,"h_win","Belgium vs Panama"
"19",19,10,116,46,NA,"England","Harry Kane",120,41.7,"2018-06-18","20H 0M 0S",1,2,"Tunisia","Group G","England","Group G","Group Stage",3,"a_win","Tunisia vs England"
"20",20,34,108,40,NA,"Tunisia","Ferjani Sassi",119,36.4,"2018-06-18","20H 0M 0S",1,2,"Tunisia","Group G","England","Group G","Group Stage",3,"a_win","Tunisia vs England"
"21",21,90,116,36,NA,"England","Harry Kane",120,37,"2018-06-18","20H 0M 0S",1,2,"Tunisia","Group G","England","Group G","Group Stage",3,"a_win","Tunisia vs England"
"22",22,64,109,41,NA,"Sweden","Andreas Granqvist",120,43,"2018-06-18","14H 0M 0S",1,0,"Sweden","Group F","South Korea","Group F","Group Stage",1,"h_win","Sweden vs South Korea"
